port,tag,p_hat,n,lo,hi
baton_rouge,Balanced200,0.535875,24000,0.529560,0.542178
gulfport,Balanced200,0.456437,16000,0.448731,0.464165
new_orleans,Balanced200,0.523975,40000,0.519079,0.528867
south_louisiana,Balanced200,0.535875,24000,0.529560,0.542178
baton_rouge,Unbalanced200,0.514542,24000,0.508217,0.520862
gulfport,Unbalanced200,0.417687,16000,0.410066,0.425348
new_orleans,Unbalanced200,0.507150,40000,0.502250,0.512049
south_louisiana,Unbalanced200,0.514542,24000,0.508217,0.520862
baton_rouge,FairUnbalanced200,0.535875,24000,0.529560,0.542178
gulfport,FairUnbalanced200,0.456437,16000,0.448731,0.464165
new_orleans,FairUnbalanced200,0.523950,40000,0.519054,0.528842
south_louisiana,FairUnbalanced200,0.535875,24000,0.529560,0.542178